id,employeeid,log_datetime,direction,shortname,serialno
5267,1622,2024-08-10 06:04:28+00,In Device,CHECKIN,NCD8242000216
5268,1426,2024-08-19 20:20:22+00,Out Device,CHECKOUT,NCD8242000384
5269,1644,2024-08-10 06:04:30+00,In Device,CHECKIN,NCD8242000216
5270,825,2024-08-19 21:54:56+00,Out Device,CHECKOUT,NCD8242000384
5271,1498,2024-08-10 06:04:39+00,In Device,CHECKIN,NCD8242000216
5272,1536,2024-08-19 21:54:56+00,Out Device,CHECKOUT,NCD8242000384
5273,1635,2024-08-10 06:04:49+00,In Device,CHECKIN,NCD8242000216
5274,1498,2024-08-19 21:55:01+00,Out Device,CHECKOUT,NCD8242000384
5275,1545,2024-08-10 06:04:54+00,In Device,CHECKIN,NCD8242000216
5276,1617,2024-08-19 21:55:46+00,Out Device,CHECKOUT,NCD8242000384
5277,1661,2024-08-10 06:05:06+00,In Device,CHECKIN,NCD8242000216
5278,1655,2024-08-19 21:56:06+00,Out Device,CHECKOUT,NCD8242000384
5279,1047,2024-08-10 06:05:39+00,In Device,CHECKIN,NCD8242000216
5280,1654,2024-08-19 21:56:12+00,Out Device,CHECKOUT,NCD8242000384
5281,1052,2024-08-10 06:05:42+00,In Device,CHECKIN,NCD8242000216
5282,1622,2024-08-19 21:56:47+00,Out Device,CHECKOUT,NCD8242000384
5283,1558,2024-08-10 06:06:07+00,In Device,CHECKIN,NCD8242000216
5284,1336,2024-08-19 21:57:20+00,Out Device,CHECKOUT,NCD8242000384
5285,1215,2024-08-10 06:06:22+00,In Device,CHECKIN,NCD8242000216
5286,896,2024-08-19 21:57:25+00,Out Device,CHECKOUT,NCD8242000384
5287,1226,2024-08-10 06:06:25+00,In Device,CHECKIN,NCD8242000216
5288,1183,2024-08-19 21:57:28+00,Out Device,CHECKOUT,NCD8242000384
5289,1293,2024-08-10 06:06:42+00,In Device,CHECKIN,NCD8242000216
5290,1171,2024-08-19 21:57:31+00,Out Device,CHECKOUT,NCD8242000384
5291,1251,2024-08-10 06:06:45+00,In Device,CHECKIN,NCD8242000216
5292,1410,2024-08-19 21:57:34+00,Out Device,CHECKOUT,NCD8242000384
5293,1243,2024-08-10 06:06:49+00,In Device,CHECKIN,NCD8242000216
5294,1619,2024-08-19 21:57:37+00,Out Device,CHECKOUT,NCD8242000384
5295,1612,2024-08-10 06:06:53+00,In Device,CHECKIN,NCD8242000216
5296,1644,2024-08-19 21:57:38+00,Out Device,CHECKOUT,NCD8242000384
5297,1027,2024-08-10 06:07:01+00,In Device,CHECKIN,NCD8242000216
5298,1604,2024-08-19 21:57:42+00,Out Device,CHECKOUT,NCD8242000384
5299,911,2024-08-10 06:07:03+00,In Device,CHECKIN,NCD8242000216
5300,1633,2024-08-19 21:57:43+00,Out Device,CHECKOUT,NCD8242000384
5301,1230,2024-08-10 06:07:11+00,In Device,CHECKIN,NCD8242000216
5302,1081,2024-08-19 21:57:44+00,Out Device,CHECKOUT,NCD8242000384
5303,1483,2024-08-10 06:07:14+00,In Device,CHECKIN,NCD8242000216
5304,1620,2024-08-19 21:57:50+00,Out Device,CHECKOUT,NCD8242000384
5305,1245,2024-08-10 06:07:16+00,In Device,CHECKIN,NCD8242000216
5306,1661,2024-08-19 21:57:56+00,Out Device,CHECKOUT,NCD8242000384
5307,1403,2024-08-19 21:57:58+00,Out Device,CHECKOUT,NCD8242000384
5308,1143,2024-08-10 07:51:36+00,In Device,CHECKIN,NCD8242000216
5309,1119,2024-08-19 21:58:00+00,Out Device,CHECKOUT,NCD8242000384
5310,1449,2024-08-10 07:53:13+00,In Device,CHECKIN,NCD8242000216
5311,1414,2024-08-19 21:58:05+00,Out Device,CHECKOUT,NCD8242000384
5312,1543,2024-08-10 08:04:41+00,In Device,CHECKIN,NCD8242000216
5313,1134,2024-08-19 21:58:07+00,Out Device,CHECKOUT,NCD8242000384
5314,956,2024-08-10 08:08:20+00,In Device,CHECKIN,NCD8242000216
5315,1228,2024-08-19 21:58:09+00,Out Device,CHECKOUT,NCD8242000384
5316,1496,2024-08-10 09:26:33+00,In Device,CHECKIN,NCD8242000216
5317,1623,2024-08-19 21:58:13+00,Out Device,CHECKOUT,NCD8242000384
5318,1143,2024-08-10 09:26:39+00,In Device,CHECKIN,NCD8242000216
5319,1295,2024-08-19 21:58:16+00,Out Device,CHECKOUT,NCD8242000384
5320,1400,2024-08-10 11:04:29+00,In Device,CHECKIN,NCD8242000216
5321,1565,2024-08-19 21:58:18+00,Out Device,CHECKOUT,NCD8242000384
5322,1548,2024-08-10 11:35:37+00,In Device,CHECKIN,NCD8242000216
5323,1150,2024-08-19 21:58:20+00,Out Device,CHECKOUT,NCD8242000384
5324,1487,2024-08-10 11:37:56+00,In Device,CHECKIN,NCD8242000216
5325,1605,2024-08-19 21:58:23+00,Out Device,CHECKOUT,NCD8242000384
5326,1243,2024-08-10 11:39:38+00,In Device,CHECKIN,NCD8242000216
5327,1599,2024-08-19 21:58:28+00,Out Device,CHECKOUT,NCD8242000384
5328,1237,2024-08-19 21:58:32+00,Out Device,CHECKOUT,NCD8242000384
5329,1236,2024-08-19 21:58:34+00,Out Device,CHECKOUT,NCD8242000384
5330,1400,2024-08-10 11:42:52+00,In Device,CHECKIN,NCD8242000216
5331,1635,2024-08-19 21:58:37+00,Out Device,CHECKOUT,NCD8242000384
5332,1482,2024-08-10 13:38:40+00,In Device,CHECKIN,NCD8242000216
5333,1545,2024-08-19 21:58:41+00,Out Device,CHECKOUT,NCD8242000384
5334,1438,2024-08-10 13:41:50+00,In Device,CHECKIN,NCD8242000216
5335,1549,2024-08-19 21:59:09+00,Out Device,CHECKOUT,NCD8242000384
5336,1096,2024-08-10 13:44:50+00,In Device,CHECKIN,NCD8242000216
5337,1030,2024-08-19 21:59:13+00,Out Device,CHECKOUT,NCD8242000384
5338,1071,2024-08-10 13:45:19+00,In Device,CHECKIN,NCD8242000216
5339,1180,2024-08-19 21:59:16+00,Out Device,CHECKOUT,NCD8242000384
5340,1434,2024-08-10 13:45:46+00,In Device,CHECKIN,NCD8242000216
5341,1507,2024-08-19 21:59:21+00,Out Device,CHECKOUT,NCD8242000384
5342,1481,2024-08-10 13:45:48+00,In Device,CHECKIN,NCD8242000216
5343,1386,2024-08-10 13:46:39+00,In Device,CHECKIN,NCD8242000216
5344,1470,2024-08-19 21:59:24+00,Out Device,CHECKOUT,NCD8242000384
5345,1474,2024-08-19 21:59:27+00,Out Device,CHECKOUT,NCD8242000384
5346,1126,2024-08-10 13:46:42+00,In Device,CHECKIN,NCD8242000216
5347,1104,2024-08-19 21:59:42+00,Out Device,CHECKOUT,NCD8242000384
5348,1185,2024-08-10 13:47:06+00,In Device,CHECKIN,NCD8242000216
5349,1542,2024-08-19 21:59:46+00,Out Device,CHECKOUT,NCD8242000384
5350,2,2024-08-10 13:47:08+00,In Device,CHECKIN,NCD8242000216
5351,1490,2024-08-19 21:59:53+00,Out Device,CHECKOUT,NCD8242000384
5352,1595,2024-08-10 13:47:10+00,In Device,CHECKIN,NCD8242000216
5353,1541,2024-08-19 21:59:54+00,Out Device,CHECKOUT,NCD8242000384
5354,1583,2024-08-10 13:47:13+00,In Device,CHECKIN,NCD8242000216
5355,1142,2024-08-19 21:59:56+00,Out Device,CHECKOUT,NCD8242000384
5356,1431,2024-08-10 13:47:15+00,In Device,CHECKIN,NCD8242000216
5357,1483,2024-08-19 22:00:08+00,Out Device,CHECKOUT,NCD8242000384
5358,1115,2024-08-10 13:49:12+00,In Device,CHECKIN,NCD8242000216
5359,1445,2024-08-19 22:00:11+00,Out Device,CHECKOUT,NCD8242000384
5360,828,2024-08-19 22:00:14+00,Out Device,CHECKOUT,NCD8242000384
5361,907,2024-08-19 22:00:16+00,Out Device,CHECKOUT,NCD8242000384
5362,1311,2024-08-19 22:00:30+00,Out Device,CHECKOUT,NCD8242000384
5363,1558,2024-08-19 22:01:07+00,Out Device,CHECKOUT,NCD8242000384
5364,1461,2024-08-19 22:01:09+00,Out Device,CHECKOUT,NCD8242000384
5365,1279,2024-08-19 22:01:11+00,Out Device,CHECKOUT,NCD8242000384
5366,1283,2024-08-19 22:01:15+00,Out Device,CHECKOUT,NCD8242000384
5367,1082,2024-08-19 22:01:25+00,Out Device,CHECKOUT,NCD8242000384
5368,1393,2024-08-19 22:01:28+00,Out Device,CHECKOUT,NCD8242000384
5369,1045,2024-08-19 22:02:20+00,Out Device,CHECKOUT,NCD8242000384
5370,911,2024-08-19 22:02:30+00,Out Device,CHECKOUT,NCD8242000384
5371,1438,2024-08-19 22:02:46+00,Out Device,CHECKOUT,NCD8242000384
5372,1047,2024-08-19 22:03:11+00,Out Device,CHECKOUT,NCD8242000384
5373,1602,2024-08-19 22:03:26+00,Out Device,CHECKOUT,NCD8242000384
5374,1063,2024-08-19 22:03:57+00,Out Device,CHECKOUT,NCD8242000384
5375,1612,2024-08-19 22:04:59+00,Out Device,CHECKOUT,NCD8242000384
5376,1572,2024-08-19 22:05:03+00,Out Device,CHECKOUT,NCD8242000384
5377,1555,2024-08-10 13:49:32+00,In Device,CHECKIN,NCD8242000216
5378,1300,2024-08-10 13:49:34+00,In Device,CHECKIN,NCD8242000216
5379,1159,2024-08-10 13:50:26+00,In Device,CHECKIN,NCD8242000216
5380,1562,2024-08-10 13:50:40+00,In Device,CHECKIN,NCD8242000216
5381,1200,2024-08-10 13:50:54+00,In Device,CHECKIN,NCD8242000216
5382,1196,2024-08-10 13:50:58+00,In Device,CHECKIN,NCD8242000216
5383,1524,2024-08-10 13:51:05+00,In Device,CHECKIN,NCD8242000216
5384,1340,2024-08-10 13:51:46+00,In Device,CHECKIN,NCD8242000216
5385,952,2024-08-10 13:51:58+00,In Device,CHECKIN,NCD8242000216
5386,1494,2024-08-10 13:52:03+00,In Device,CHECKIN,NCD8242000216
5387,1085,2024-08-10 13:52:33+00,In Device,CHECKIN,NCD8242000216
5388,928,2024-08-10 13:52:47+00,In Device,CHECKIN,NCD8242000216
5389,944,2024-08-10 13:52:50+00,In Device,CHECKIN,NCD8242000216
5390,1417,2024-08-10 13:52:59+00,In Device,CHECKIN,NCD8242000216
5391,1506,2024-08-10 13:53:01+00,In Device,CHECKIN,NCD8242000216
